2018-Jun-07 00:29:52.232709 INFO    [protocol] [96.44.175.218:35927 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:29:52.232709 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:29:54.759778 INFO    [protocol] [96.44.175.218:57961 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:29:54.759778 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:29:57.478105 INFO    [protocol] [96.44.175.218:25889 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:29:57.478105 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:05.007188 INFO    [protocol] [96.44.175.218:65293 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:05.007188 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:07.538128 INFO    [protocol] [96.44.175.218:41311 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:07.538128 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:10.067695 INFO    [protocol] [96.44.175.218:6348 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:10.067695 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:12.783188 INFO    [protocol] [96.44.175.218:31506 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:12.783188 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:17.950905 INFO    [protocol] [96.44.175.218:28797 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:17.950905 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:28.301114 INFO    [protocol] [96.44.175.218:16512 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:28.301114 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:30.830099 INFO    [protocol] [96.44.175.218:54622 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:30.830099 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:33.731974 INFO    [protocol] [96.44.175.218:65061 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:33.731974 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:41.447505 INFO    [protocol] [96.44.175.218:11124 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
